lease_id,no_rent_change,rent_change_10,rent_change_20,lease_length_2,lease_length_3,lease_length_1,age_range_under_24,age_range_24_29,age_range_30_39,age_range_40_49,age_range_50_59,age_range_60,NoFinesViolations,PositiveSurvey,LatePayments,HOA_mandatory,Renewed
HPA0225,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
HPA0226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HPA0228,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
HPA0229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0231,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0233,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
HPA0234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0239,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
HPA0240,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
HPA0241,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
HPA0242,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
HPA0243,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
HPA0244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HPA0245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
